nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Jelly Belly: Ballistic Beans,Wii,Puzzle,Zoo Digital Publishing,0.02,21-Apr-09,,,tbd,,Zoo Digital Publishing
Madden NFL 12,PSP,Sports,Electronic Arts,0.2,30-Aug-11,,,tbd,,EA Tiburon
The Sims 2: Pets,Wii,Simulation,Electronic Arts,0.46,12-Jun-07,65.0,15.0,tbd,,Maxis
Guilty Gear XX Accent Core Plus,PSP,Fighting,PQube,0.08,7-Apr-09,,,8.3,4.0,Arc System Works
WWE 2K14,PS3,Sports,Take-Two Interactive,0.72,29-Oct-13,74.0,21.0,7.4,60.0,Yuke's
The Orange Box,PS3,Shooter,Electronic Arts,1.0,11-Dec-07,89.0,21.0,8.3,150.0,EA Games
Street Fighter IV,PS3,Fighting,Capcom,2.08,17-Feb-09,94.0,61.0,7.3,251.0,Capcom
"Sesame Street: Ready, Set, Grover!",Wii,Misc,Warner Bros. Interactive Entertainment,0.09,,,,,,
Create,PS3,Misc,Electronic Arts,0.11,16-Nov-10,61.0,23.0,5,4.0,EA Bright Light
Dynasty Warriors: Gundam 3,X360,Action,Tecmo Koei,0.16,28-Jun-11,65.0,27.0,7.8,19.0,Koei Tecmo Games
Test Drive Unlimited,PSP,Racing,Atari,0.48,21-Mar-07,80.0,18.0,7.3,27.0,Melbourne House
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,Misc,Hudson Soft,0.07,,,,,,
Raiden Fighters Aces,X360,Shooter,Valcon Games,0.06,7-May-09,73.0,11.0,8.2,9.0,Gulti
Wall-E,PSP,Platform,THQ,0.64,24-Jun-08,64.0,8.0,tbd,,Heavy Iron Studios
Deca Sports Extreme,3DS,Sports,Hudson Soft,0.1,13-Sep-11,52.0,6.0,tbd,,Hudson Soft
Doraemon Wii: Himitsu Douguou Ketteisen!,Wii,Misc,Sega,0.01,,,,,,
Pro Yakyuu Spirits 2011,3DS,Sports,Konami Digital Entertainment,0.07,,,,,,
College Hoops 2K7,PS3,Sports,Take-Two Interactive,0.17,13-Mar-07,81.0,9.0,6.9,7.0,2K Sports
