nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
NBA Live 06,PSP,Sports,Electronic Arts,0.42,4-Oct-05,80.0,18.0,8.2,11.0,EA Canada
NBA Live 06,X360,Sports,Electronic Arts,0.29,16-Nov-05,64.0,35.0,5.4,14.0,EA Canada
Peter Jackson's King Kong: The Official Game of the Movie,X360,Action,Ubisoft,0.23,21-Nov-05,80.0,57.0,7.2,60.0,Ubisoft Montpellier
Pinball Hall of Fame: The Gottlieb Collection,PSP,Misc,Play It,0.22,6-Dec-05,73.0,27.0,9.5,11.0,Farsight Studios
Peter Jackson's King Kong: The Official Game of the Movie,PSP,Action,Ubisoft,0.18,20-Dec-05,56.0,10.0,6.2,20.0,Phoenix Games Studio
FIFA Soccer,PSP,Sports,Electronic Arts,0.12,25-Apr-05,73.0,23.0,7.7,22.0,EA Canada
WRC: FIA World Rally Championship,PSP,Racing,Sony Computer Entertainment,0.03,18-Apr-06,67.0,18.0,8.1,17.0,Traveller's Tales
Call of Duty 3,X360,Shooter,Activision,2.64,7-Nov-06,82.0,71.0,6.5,167.0,Treyarch
Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,1.92,20-Nov-06,88.0,69.0,8.4,179.0,Ubisoft Montreal
Madden NFL 07,X360,Sports,Electronic Arts,1.79,22-Aug-06,80.0,54.0,6,144.0,EA Tiburon
Fight Night Round 3,PS3,Fighting,Electronic Arts,1.64,5-Dec-06,83.0,37.0,7.9,20.0,EA Chicago
Need for Speed Carbon,X360,Racing,Electronic Arts,1.6,31-Oct-06,77.0,52.0,6.1,67.0,EA Canada
Call of Duty 3,PS3,Shooter,Activision,1.43,14-Nov-06,80.0,43.0,6.9,56.0,Treyarch
Fight Night Round 3,X360,Fighting,Electronic Arts,1.43,20-Feb-06,86.0,67.0,8.9,252.0,EA Chicago
