# temperatura,vacuo,energia_knn,energia_rnn,energia_lr
8.34,40.77,479.67,479.88,478.14
23.64,58.49,445.75,445.75,446.25
29.74,56.90,436.05,436.83,436.35
19.07,49.69,453.09,453.09,456.92
11.80,40.66,464.43,464.43,472.27
13.97,39.16,470.96,470.96,469.05
22.10,71.29,440.71,440.25,444.71
14.47,41.76,464.00,464.00,467.35
31.25,69.51,430.87,432.75,429.66
6.77,38.18,486.25,485.17,481.67
28.28,68.67,435.74,435.45,435.01
22.99,46.93,451.88,449.74,451.12
29.30,70.04,426.25,426.25,432.82
8.14,37.49,480.66,480.66,479.55
16.92,44.60,460.17,460.17,462.24
22.72,64.15,453.13,453.13,445.97
18.14,43.56,461.71,461.71,460.50
11.49,44.63,471.08,471.08,471.51
9.94,40.46,473.74,473.74,475.51
23.54,41.10,453.78,453.18,452.08
14.90,52.05,464.82,464.82,463.27
33.80,64.96,427.28,427.28,426.79
25.37,68.31,437.42,437.81,440.09
7.29,41.04,480.44,481.97,479.85
13.55,40.71,468.77,468.91,469.27
6.39,35.57,485.40,485.20,483.17
26.64,62.44,439.45,441.07,439.84
7.84,41.39,485.66,485.66,478.80
21.82,58.66,448.82,447.48,449.30
27.17,67.45,438.18,436.83,437.30
13.42,41.23,467.86,468.47,469.32
20.77,56.85,442.85,442.85,451.68
8.29,36.08,481.23,480.52,479.76
30.98,67.45,433.59,433.59,430.79
31.96,71.29,433.04,433.04,427.87
15.83,52.75,461.89,461.43,461.45
22.56,70.79,435.14,435.14,444.08
25.91,75.60,443.20,443.20,436.80
8.24,39.61,479.74,480.94,478.69
24.66,60.29,445.26,445.26,443.92
29.31,68.67,435.57,435.57,433.25
21.48,66.91,448.44,446.35,447.19
18.28,44.71,462.28,462.28,459.89
26.96,65.34,441.81,441.81,438.34
16.01,65.46,454.16,454.16,457.00
27.37,63.73,437.24,437.24,438.17
16.30,39.63,464.11,464.11,464.92
23.80,48.60,440.89,440.89,449.19
8.19,41.66,485.20,485.20,478.11
25.28,67.69,438.68,438.60,440.45
21.47,70.32,442.31,442.11,446.10
30.54,67.45,431.35,431.35,431.54
18.30,44.06,459.85,459.80,460.06
25.82,72.39,432.98,432.98,438.00
31.12,69.13,429.41,429.41,430.01
15.99,39.63,464.95,464.95,465.45
8.42,42.28,481.91,481.91,477.52
23.70,69.23,438.20,439.70,442.64
15.71,40.12,462.60,462.60,465.77
29.11,74.90,435.72,435.26,431.56
23.73,61.02,442.22,442.22,445.27
28.26,65.34,440.20,438.96,436.12
15.92,41.20,468.91,468.91,465.06
33.40,70.80,432.07,432.63,425.57
31.92,68.30,430.07,430.07,428.91
26.87,74.99,437.78,437.78,435.36
5.23,40.78,483.43,485.32,483.45
15.72,41.76,463.98,464.29,465.22
17.74,50.88,456.71,456.13,458.80
27.13,59.54,438.32,438.32,439.94
