temperatura,vacuo,energia
12.82,48.14,467.48
16.85,50.9,460.68
25.32,63.77,441.5
22.7,61.41,449.75
33.38,71.06,430.98
13.16,43.71,469.06
6.07,38.91,483.56
23.0,60.37,437.6
27.14,65.27,441.68
6.87,40.07,491.4
33.87,71.32,435.89
19.51,50.16,448.28
14.82,40.0,458.46
24.82,66.48,433.62
9.38,44.77,473.9
14.66,47.83,461.46
29.41,64.05,444.82
12.39,40.75,475.96
25.65,49.3,440.05
20.95,48.14,452.38
11.72,39.18,468.98
26.82,69.23,436.36
26.49,67.69,430.62
24.38,63.91,446.02
11.71,40.05,471.49
9.11,36.66,480.74
26.2,63.56,442.4
20.67,70.02,448.75
28.69,58.33,448.54
16.92,44.6,460.17
15.64,38.28,466.51
31.11,71.8,437.2
29.96,70.04,427.1
32.31,62.04,450.13
12.71,41.39,475.13
24.86,63.47,441.68
25.62,58.82,444.14
14.81,42.77,463.06
16.44,43.96,468.57
25.07,56.85,442.44
32.15,72.29,435.71
5.1,35.57,489.96
28.13,61.25,436.61
28.87,71.97,435.86
21.92,61.87,445.52
23.36,56.89,440.51
8.03,40.07,488.02
12.2,44.77,469.41
24.81,63.94,444.26
24.47,57.85,445.37
28.19,67.45,434.77
18.33,44.34,468.8
25.42,75.6,438.24
29.14,75.23,434.82
5.66,40.0,475.54
9.7,40.11,473.97
9.06,39.3,480.41
27.38,74.16,436.65
18.87,67.71,444.77
30.05,69.34,436.82
23.83,71.37,443.29
32.67,77.95,432.32
11.3,44.6,470.5
13.28,43.8,466.78
25.42,73.21,432.04
24.64,58.49,444.95
26.13,57.32,441.6
20.65,66.51,456.49
10.8,39.58,478.24
25.51,67.69,433.02
10.19,44.63,472.45
23.0,60.37,437.6
27.84,68.08,436.37
13.82,44.84,467.95
20.96,69.48,444.31
9.27,38.56,475.42
17.53,44.9,457.61
26.82,75.08,441.14
21.05,63.09,447.45
10.38,43.02,474.44
21.4,68.28,450.22
25.34,59.39,439.8
28.61,70.36,440.16
10.06,34.69,477.68
32.56,68.94,425.61
25.31,67.9,440.36
25.71,71.14,432.46
16.01,65.46,454.16
7.07,37.49,481.58
21.86,63.09,442.79
13.56,39.52,470.67
14.85,45.87,462.67
13.03,42.86,475.03
15.65,43.5,463.5
24.98,58.98,441.33
29.12,73.06,434.9
23.84,63.47,444.48
28.32,68.12,433.59
6.49,35.57,486.8
11.24,25.36,469.92
21.73,61.45,442.78
25.91,68.08,432.07
20.65,57.5,448.22
24.38,63.91,446.02
28.62,70.94,432.71
10.06,42.02,477.82
26.8,49.3,438.56
22.09,65.59,447.28
12.89,36.71,475.13
15.08,42.77,461.6
17.27,44.9,454.19
20.86,63.73,440.42
23.03,59.04,444.85
24.96,74.99,440.91
29.05,64.84,442.58
28.01,73.18,431.02
19.51,48.78,453.27
10.12,43.72,473.05
20.06,56.53,455.99
19.12,58.79,447.02
13.52,41.44,472.11
22.42,59.43,440.99
22.29,61.27,449.81
11.95,42.03,465.2
6.37,40.81,489.18
28.84,74.67,428.98
13.7,34.03,470.2
7.01,40.72,489.64
6.41,40.81,484.49
15.45,61.27,456.59
19.85,56.53,457.17
21.47,60.93,442.75
9.58,38.08,478.5
15.83,52.75,458.6
23.42,73.17,438.22
29.0,69.68,442.79
7.73,37.8,483.94
18.01,62.26,451.14
16.76,43.77,457.0
14.4,42.18,464.81
8.99,41.26,476.09
17.47,58.59,449.41
15.86,38.62,462.58
17.34,45.01,459.01
25.6,66.48,435.12
21.07,67.07,446.05
27.17,67.45,429.87
11.64,41.39,479.53
27.97,68.31,443.34
23.89,64.27,450.82
24.53,74.78,446.3
5.11,42.07,486.41
25.76,74.87,443.7
17.98,59.15,451.97
16.84,56.03,437.14
15.51,36.71,465.85
24.54,66.49,437.38
10.09,37.14,473.66
26.95,48.41,436.54
14.91,43.34,461.27
18.93,59.39,450.14
11.1,44.85,477.03
14.44,42.32,462.13
26.39,66.49,433.36
11.3,25.36,471.19
21.32,48.14,449.09
30.93,70.83,440.59
17.51,41.85,465.05
20.03,66.86,450.93
14.99,41.35,466.85
6.63,39.37,489.16
